"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000013896",17052.109724448,21989.160744706,0,2,"01","01","01","02","01","02",2,6,"21","01","11","11","03",4,3,"01","04","01","05","02","04","06","02",1,1,3,"02","202201",2,"1024","01","05","02","01","03","01","02","01"
"9000013899",6437.49958697217,8129.4690502722,0,1,"02","01","02","02","01","02",1,3,"23","01","02","02","01",1,1,"02","01","03","03","04","01","02","01",0,0,1,"01","202202",0,"1023","02","20","01","02","04","01","05","03"
"9000013901",8666.97531919214,11871.7703873975,0,3,"02","03","01","02","01","01",1,6,"21","01","06","06","01",3,1,"01","10","01","05","04","01","04","01",0,0,3,"01","202202",0,"1023","05","60","08","08","08","05","08","08"
"9000013904",29172.785229622,35703.939014936,0,1,"03","03","01","02","01","02",0,0,"21","01","04","04","03",1,0,"02","01","01","05","04","01","04","01",0,0,1,"01","202201",1,"1023","05","80","07","07","04","80","07","07"
"9000013906",15680.1844273006,20610.3989548995,0,1,"02","03","01","02","01","02",0,2,"21","01","08","08","03",1,0,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023","05","80","08","08","08","80","08","08"
"9000013922",3588.52569862459,4485.33939818246,0,1,"02","01","02","02","01","02",1,2,"24","01","06","06","01",1,1,"02","09","04","06","05","04","06","02",0,0,1,"02","202202",0,"1024","01","05","01","01","01","05","02","02"
"9000013936",13631.7119844018,17233.8106051884,0,1,"02","02","02","02","01","02",1,3,"23","01","06","06","01",1,2,"02","01","03","01","02","04","06","02",0,0,1,"02","202201",1,"1024","02","30","04","03","05","20","02","02"
"9000013938",6614.90768658645,8435.87450753228,0,3,"01","01","02","02","01","02",3,0,"23","01","06","06","01",3,2,"01","10","03","01","02","02","06","01",0,0,3,"02","202202",0,"1024","02","05","02","01","02","05","02","01"
"9000013949",14883.2938094362,0,58090.8342168239,2,"01","04","02","02","01","02",1,0,"23","01","06","06","01",2,1,"01","10","03","01","01","04","06","02",0,0,2,"02","202202",1,"1024","01","20","01","01","01","20","01","01"
"9000013953",5358.55190249377,6737.65924648277,0,1,"03","03","02","02","01","02",1,2,"24","01","04","04","01",2,1,"01","05","04","06","03","02","06","01",1,0,2,"01","202202",1,"1024","02","40","04","03","04","50","02","02"
"9000013970",5525.72229051574,6482.35061755195,0,1,"01","01","02","02","01","02",1,0,"23","01","05","05","01",1,1,"02","01","03","01","02","02","06","01",0,0,1,"01","202202",1,"1024","02","30","03","02","04","60","04","04"
"9000013982",7217.44027242223,0,33088.6716869126,1,"01","01","02","02","01","02",1,2,"23","01","07","07","01",2,2,"01","03","03","01","01","02","06","01",0,1,1,"01","202201",1,"1024","02","40","02","02","03","40","01","02"
"9000013983",18570.2433888395,25948.7408429725,0,3,"01","01","02","02","01","02",3,0,"23","01","04","04","01",4,2,"01","06","03","01","02","04","06","02",1,0,4,"02","202202",1,"1024","01","05","02","01","02","05","01","01"
"9000013986",4191.51367012631,0,15715.9815833948,2,"03","03","02","02","01","02",2,6,"23","01","03","03","01",5,2,"01","04","03","01","01","02","06","01",1,2,3,"01","202202",2,"1024","02","40","04","03","05","60","06","05"
